state,specialty,ndb_spec,credentialing_required
AK,MOHS Surgery,357,Yes
AK,Molecular Genetic Pathology,371,No1 (Except MO)
AK,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
AK,MRI/Magnetic Resonance,511,No1 (Except MO)
AK,Neonatology,87,No1 (Except MO)
AK,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
AK,Nephrology,39,Yes
AK,Neurodevelopmental Disabilities,343,Yes
AK,Neurological Surgery,14,Yes
AK,Neurology,13,Yes
AK,Neurology & Psychiatry,228,No2
AK,Neuromuscular Disease,269,Yes
AK,Neuropathology,229,No1 (Except MO)
AK,Neuroradiology,332,No1 (Except MO)
AK,Nuclear Cardiology,16,Yes
AK,Nuclear Medicine,36,No1 (Except MO)
AK,Nuclear Radiology,286,No1 (Except MO)
AK,Obstetrics,250,Yes (as Obstetrics And Gynecology)
AK,Obstetrics And Gynecology,230,Yes
AK,Occupational Medicine,231,Yes
AK,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
AK,Ophthalmology,18,Yes
AK,Ophthalmology Cornea Surgery,355,Yes
AK,Ophthalmology Retina Surgery,354,Yes
AK,Oral and Maxillofacial Surgery,92,Yes
AK,Oral Pathology,232,Yes
AK,Orofacial Plastic Surgery,233,Yes
AK,Orthopedic Surgery,20,Yes
AK,Osteopathic Manipulative Medicine,330,Yes
AK,Otolaryngology (ENT),4,Yes
AK,Otology,254,Yes (as Otolaryngology)
AK,Pain Management,319,Yes
AK,Pastoral Counselor,388,No
AK,Pathology,22,No1 (Except MO)
AK,Pediatric Allergy Immunology,86,Yes
AK,Pediatric Anesthesiology,116,No1 (Except MO)
AK,Pediatric Behavioral,363,No2
AK,Pediatric Cardiology,85,Yes
AK,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
AK,Pediatric Child Abuse,258,Yes
AK,Pediatric Critical Care Medicine,234,Yes
AK,Pediatric Dermatology,117,Yes
AK,Pediatric Developmental & Behavioral,255,Yes
AK,Pediatric Emergency Medicine,321,Yes
AK,Pediatric Endocrinology,82,Yes
AK,Pediatric Gastroenterology,259,Yes
AK,Pediatric Genetics,260,Yes
AK,Pediatric Hematology Oncology,88,Yes
AK,Pediatric Infectious Disease Medicine,78,Yes
AK,Pediatric Nephrology,31,Yes
AK,Pediatric Neurology,262,Yes
AK,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
AK,Pediatric Ophthalmology,263,Yes
AK,Pediatric Orthopedic Surgery,264,Yes
AK,Pediatric Otolaryngology (ENT),265,Yes
AK,Pediatric Pathology,322,No1 (Except MO)
AK,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
AK,Pediatric Pulmonary Medicine,96,Yes
AK,Pediatric Radiology,288,No1 (Except MO)
AK,Pediatric Rehabilitation Medicine,341,Yes
AK,Pediatric Rheumatology,261,Yes
AK,Pediatric Specialist,274,Yes (as Pediatrics)
AK,Pediatric Speech Pathologist,115,No2
AK,Pediatric Sports Medicine,323,Yes
AK,Pediatric Surgery,114,Yes
AK,Pediatric Urology,267,Yes
AK,Pediatrics,37,Yes
AK,Perinatology (Maternal & Fetal Medicine),226,Yes
AK,Phlebology,396,Yes
AK,Physical Medicine and Rehabilitation / Physiatry,25,Yes
AK,Physician Nutrition Specialist,103,Yes
AK,Plastic Surgery,24,Yes
AK,Plastic Surgery within the Head & Neck,337,Yes
AK,Preventative Medicine Aerospace,41,Yes
AK,Preventive Medicine,281,Yes
AK,Proctology,28,Yes
AK,Psychiatric Nurse Specialist/Practitioner,329,No2
AK,Psychiatric Social Work,9,No2
AK,Psychiatry,26,No2
AK,"Psychology, Clinical (Doctorate Level)",70,No2
AK,Psychosomatic Medicine,291,No2
AK,Public Health,238,Yes
AK,Public Health & General Preventive Medicine,236,Yes
AK,Pulmonary Medicine,29,Yes
AK,Radiation Oncology,32,Yes
AK,Radioisotopic Pathology,240,No1 (Except MO)
AK,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
AK,Radiological Physics,324,Yes (as Radiation Oncology)
AK,Radiology,30,No1 (Except MO)
AK,Rehabilitative Medicine,253,Yes
AK,Reproductive Endocrinology,241,Yes
AK,Rheumatology,90,Yes
AK,Rhinology,292,Yes (as Otolaryngology)
AK,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
AK,Sleep Study Medicine,361,Yes
AK,"Social Worker, Licensed Clinical/Medical",63,No2
AK,Spinal Cord Injury Medicine,344,Yes
AK,Sports Medicine,296,Yes
AK,Surgery,2,Yes
AK,Surgical Critical Care,242,Yes
AK,Surgical Oncologist,508,Yes
AK,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
AK,Thoracic Cardiovascular Surgery,33,Yes
AK,Thoracic Surgery,101,Yes
AK,Traumatic Surgery,293,Yes
AK,Undersea and Hyperbaric Medicine,327,Yes
AK,Undersea Medicine,372,Yes
AK,Urgent Care Medicine,328,No1 (Except MO)
AK,Urology,34,Yes
AK,Vascular Intervention Radiology,335,No1 (Except MO)
AR,Acupuncture,201,No2
AR,Addiction Medicine Specialist,331,No2
AR,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
AR,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
AR,Athletic Trainer,121,No
AR,Audiology,205,Yes
AR,Behavioral Analyst,300,No2
AR,Certified Diabetic Educator,27,Yes
AR,Certified Nurse Midwife,69,Yes
AR,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
AR,Child Psychology,268,No2
AR,Chiropractic Medicine,35,No2
AR,Christian Science Practitioner,376,No
AR,Counselor - MH/SA/School,377,No2
AR,Dentist,50,No2
AR,"Dentist, Oral Surgeon",92,Yes
AR,Employee Assistance Program (EAP) Counselor,379,No
AR,Empowerment Coach,118,No
AR,Endodontics,51,No2
AR,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
AR,Genetic Counselor,320,No
AR,Hearing Instrument Specialist,298,No
AR,Home Health  / Private Duty Nurse,243,No
AR,Home Health Aide,67,No
AR,Homemaker,21,No
AR,Homeopathic Medicine,282,No
AR,Lactation Specialist,380,No
AR,Licensed Professional Counselor,381,No2
AR,Licensed Vocational Nurse,382,No
AR,Marriage & Family Therapy,318,No2
AR,Massage Therapy,514,No
AR,Master of Social Work,391,No2
AR,"Naturopathy, Doctor of",384,Yes
AR,Neuropsychology,397,No2
AR,Non-Indep Licensed MH Provider,244,No
AR,Nurse Practitioner,77,Yes
AR,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
AR,"Nurse, Clinical Specialist in Mental Health",385,No2
AR,"Nurse, Licensed Practical",65,No
AR,"Nurse, Registered",64,No
AR,"Nurse, Registered, First Assistant (RNFA)",386,No
AR,Nutritionist (Registered Dietician),89,Yes
AR,Occupational Therapy,61,No2
AR,Optician,109,No
AR,Optometry,76,No2
AR,Orthodontics,52,No2
AR,Pastoral Counselor,388,No
AR,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
AR,Pediatric Nutrition,120,Yes (as Registered Dietician)
AR,Pediatric Occupational Therapy,119,No2
AR,Pedodontics,53,No2
AR,Peridontics,54,No2
AR,Pharmacist,212,No
AR,Physical Therapy,73,No2
AR,Physical Therapy - Hand,368,No2
AR,Physical Therapy - Hand Splinting,369,No2
AR,Physical Therapy - Pediatric,367,No2
AR,Physician Assistant,338,Yes
AR,Podiatry,48,Yes
AR,Prosthodontics,55,No2
AR,Psychiatric Nurse Specialist/Practitioner,329,No2
AR,"Psychology, Clinical (Doctorate Level)",70,No2
AR,"Psychology, Clinical (Masters Level)",70,No2
AR,Registered Nurse Anesthetist,395,No1 (Except MO)
AR,Social Worker (Registered Social Worker),390,No2
AR,"Social Worker, Licensed Clinical/Medical",63,No2
AR,"Social Worker, Marriage & Family",392,No2
AR,Speech Pathology,246,No2
AR,Speech Therapy,74,No2
AR,"Substance Abuse Services, Alcohol & Drug",507,No
AR,Surgical Technician,393,No
AR,Unknown Physician/Doctor of Education,99,No
AR,Visiting Nurse,394,No
AR,Certified Asthma Educator,43,No
AR,Assisted Care Living Facility - Center  (HCBS,,No
AR,Assisted Care Living Facility - Home  (HCBS,,No
AR,Critical Access Hospital,,Yes (as General Acute Hospital)
AR,General Acute Care Hospital,,Yes
AR,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
AR,Hospital Unit - Psychiatry,,No2
AR,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
AR,Indian Health Service Hospital,,No
AR,In-Patient Hospice,,Yes
AR,Physical Disability / Rehabilitation Facility,,Yes
AR,Long Term Acute Care Facility (LTAC),,Yes
AR,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
AR,Military Hospital,,No
AR,Military Treatment Facility / TRICARE USE ONLY,,No
AR,Non Medical In-Patient Facility,,No
AR,Osteopathic Hospital,,Yes
AR,Pediatric Hospital,,Yes
AR,Psychiatric Hospital,,No2
AR,Religious Nonmedical Health Care Institution,,No
AR,"Residential Treatment Facility (Facility, Community/MHDD)",,No
AR,Respite Care Facility,,No
AR,Alcohol/Chemical Dependency Treatment Center,,No
AR,School / Custodial /Developmental Center,,No
AR,Skilled Nursing  Facility (Convalescent Facility),,Yes
AR,Veteran's Administration or other Gov'tal Facility,,No
AR,Pest Control Company (HCBS),,No
AR,Adult Day Care/Social Day Care,,No
AR,Adult Day Health Care,,No
AR,Adult Foster Care (HCBS),,No
AR,Alcohol Treatment Center/Clinic,,No
AR,Ambulance - Freestanding,,No
AR,Ambulance - Hospital Based,,No
AR,Ambulatory Surgery Center/ASC,,Yes
AR,Assitive Technology Supplier  (HCBS),,No
AR,Attendant Care Agency/In Home Supportive Care,,No
AR,Audiology/Hearing Center - DIAGNOSTIC,,No
AR,Audiology/Hearing Center - SURGICAL,,No
AR,Autism ABA Agency/Clinic,,No
AR,Birthing Clinic,,Yes (TRICARE Only)
AR,Blood Bank,,No
AR,Cardiac Diagnostic Center,,No
AR,Cardiac Rehab Center/Clinic,,No
AR,Family Planning Clinic,,No
AR,Community Based Hospice,,Yes
AR,Community/Public Health Clinic,,No
AR,Convenience Care Clinic,,No
AR,Diabetes Education Center,,Yes
AR,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
AR,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
AR,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
AR,Dialysis Center,,Yes
AR,Durable Medical Equipment (Medical Supply Company),,No
AR,Durable Medical Equipment Orthotics/Prosthetics,,No
AR,Environmental Adaptation Company (HCBS),,No
AR,Federally Qualified Health Center (FQHC),,Yes
AR,Freestanding Emergency Dept,,No
AR,Habilitation Agency (HCBS),,No
AR,Hemophiliac Treatment Center- PHARMACY ONLY,,No
AR,Home Delivered Meals Agency (HCBS),,No
AR,Home Health Care Agency/PACE Provider Agency,,Yes
AR,Home Health/Home Infusion (Combined),,Yes
AR,Homemaker Agency (HCBS),,No
AR,Hyperbaric Oxygen Chamber,,No
AR,Infertility Center,,No
AR,Infirmary,,No
AR,Infusion Therapy - Home & Clinic,,No
AR,Laboratory Center (Independent or Commercial),,Yes
AR,Lithotripsy Centers,,No
AR,Magnetic Resonance Imaging Center/Clinic,,No
AR,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
AR,Non -Emergent Transportation,,No
AR,Personal Care,,No
AR,Pediatric Medical Day Care (HCBS),,No
AR,Pharmacy,,No
AR,Portable Diag Img Supplier,,Yes
AR,Radiation Oncology Center,,No
AR,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
AR,Rural Health Clinic (RHC),,Yes
AR,Sleep Study Center,,No
AR,Surgery Suite/Center,,No
AR,Transition Service Agency (HCBS),,No
AR,Urgent Care Center/Clinic,,No (Yes for AZ Only)
AR,Veteran's Administration Medical Clinic (VAMC),,No
AR,Wellness Service Provider,,No
AR,X-Ray/Radiology Center,,No
AR,Abdominal Surgery,270,Yes (as Surgery)
AR,Addiction Medicine,347,No2
AR,Addiction Psychiatry,301,No2
AR,Adolescent Medicine,276,Yes
AR,Allergy,252,Yes (as Allergy and Immunology)
AR,Allergy and Immunology,3,Yes
AR,Anatomic & Clinical Pathology,203,No1 (Except MO)
AR,Anatomic Pathology,202,No1 (Except MO)
AR,Anesthesiology,5,No1 (Except MO)
AR,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
AR,Blood Banking/Transfusion Medicine,334,No
AR,Bone Marrow Transplant,366,Yes
AR,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
AR,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
AR,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
AR,Cardiology,12,Yes (as Cardiovascular Disease)
AR,Cardiovascular Disease,6,Yes
AR,Cardiovascular Surgery,500,Yes
AR,Chemical Pathology,207,No1 (Except MO)
AR,Chest and Respiratory Therapy,75,Yes
AR,Child & Adolescent Psychiatry,257,No2
AR,Child Neurology,208,Yes
AR,Child Psychology,268,No2
AR,Clinical Biochemical Genetics,305,Yes
AR,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
AR,Clinical Cardiac Electrophysiology,304,Yes
AR,Clinical Cytogenetics,307,Yes
AR,Clinical Genetics,308,Yes
AR,Clinical Molecular Genetics,370,Yes
AR,Clinical Neurophysiology,310,Yes
AR,Clinical Pathology,210,No1 (Except MO)
AR,Clinical Pharmacology,211,No
AR,Colon and Rectal Surgery,15,Yes
AR,Counselor - MH/SA/School,377,No2
AR,Crisis Diversion,378,No2
AR,Critical Care Medicine,214,Yes
AR,Cytopathology,312,No1 (Except MO)
AR,Dermatology,7,Yes
AR,Dermatopathology,218,Yes
AR,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
AR,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
AR,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
AR,Diagnostic Radiology,220,No1 (Except MO)
AR,Digestive Diseases,509,Yes (as Gastroenterology)
AR,Early Intervention,122,Yes (as Preventative Medicine)
AR,Emergency Medicine,42,No1 (Except MO)
AR,"Endocrinology, Diabetes and Metabolism",17,Yes
AR,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
AR,Family Practice,8,Yes
AR,Family Practice Specialist,275,Yes (as Family Practice)
AR,Forensic Pathology,223,No1 (Except MO)
AR,Forensic Psychiatry,346,No2
AR,Gastroenterology,10,Yes
AR,General Practice,1,Yes
AR,General Practice Specialist,272,Yes (as General Practice)
AR,General Vascular Surgery,95,Yes
AR,Geriatric Medicine,38,Yes
AR,Geriatric Psychiatry,314,No2
AR,Gynecologic Oncology,221,Yes
AR,Gynecology,251,Yes (as Obstetrics And Gynecology)
AR,Hand Surgery,40,Yes
AR,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
AR,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
AR,Hematology,93,Yes
AR,Hematology/Oncology,504,Yes
AR,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
AR,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
AR,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
AR,Hospice & Palliative Medicine,19,Yes
AR,Hospitalist,340,No1 (Except MO)
AR,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
AR,Immunology,283,Yes (as Allergy and Immunology)
AR,Immunopathology,225,No1 (Except MO)
AR,Independent Medical Examiner,97,No
AR,Infectious Disease Medicine,80,Yes
AR,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
AR,Internal Medicine,11,Yes
AR,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
AR,Internal Medicine Specialist,273,Yes (as Internal Medicine)
AR,Interventional Cardiology,342,Yes
AR,Interventional Radiology,124,Yes
AR,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
AR,Laryngology,284,Yes (as Otolaryngology)
AR,Legal Medicine,285,No
AR,Licensed Professional Counselor,381,No2
AR,Marriage & Family Therapy,318,No2
AR,Medical Genetics,309,Yes
AR,Medical Microbiology,227,No
AR,Medical Oncology,59,Yes
AR,Medical Toxicology,333,No
AR,MOHS Surgery,357,Yes
AR,Molecular Genetic Pathology,371,No1 (Except MO)
AR,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
AR,MRI/Magnetic Resonance,511,No1 (Except MO)
AR,Neonatology,87,No1 (Except MO)
AR,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
AR,Nephrology,39,Yes
AR,Neurodevelopmental Disabilities,343,Yes
AR,Neurological Surgery,14,Yes
AR,Neurology,13,Yes
AR,Neurology & Psychiatry,228,No2
AR,Neuromuscular Disease,269,Yes
AR,Neuropathology,229,No1 (Except MO)
AR,Neuroradiology,332,No1 (Except MO)
AR,Nuclear Cardiology,16,Yes
AR,Nuclear Medicine,36,No1 (Except MO)
AR,Nuclear Radiology,286,No1 (Except MO)
AR,Obstetrics,250,Yes (as Obstetrics And Gynecology)
AR,Obstetrics And Gynecology,230,Yes
AR,Occupational Medicine,231,Yes
AR,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
AR,Ophthalmology,18,Yes
AR,Ophthalmology Cornea Surgery,355,Yes
AR,Ophthalmology Retina Surgery,354,Yes
AR,Oral and Maxillofacial Surgery,92,Yes
AR,Oral Pathology,232,Yes
AR,Orofacial Plastic Surgery,233,Yes
AR,Orthopedic Surgery,20,Yes
AR,Osteopathic Manipulative Medicine,330,Yes
AR,Otolaryngology (ENT),4,Yes
AR,Otology,254,Yes (as Otolaryngology)
AR,Pain Management,319,Yes
AR,Pastoral Counselor,388,No
AR,Pathology,22,No1 (Except MO)
AR,Pediatric Allergy Immunology,86,Yes
AR,Pediatric Anesthesiology,116,No1 (Except MO)
AR,Pediatric Behavioral,363,No2
AR,Pediatric Cardiology,85,Yes
AR,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
AR,Pediatric Child Abuse,258,Yes
AR,Pediatric Critical Care Medicine,234,Yes
AR,Pediatric Dermatology,117,Yes
AR,Pediatric Developmental & Behavioral,255,Yes
AR,Pediatric Emergency Medicine,321,Yes
AR,Pediatric Endocrinology,82,Yes
AR,Pediatric Gastroenterology,259,Yes
AR,Pediatric Genetics,260,Yes
AR,Pediatric Hematology Oncology,88,Yes
AR,Pediatric Infectious Disease Medicine,78,Yes
AR,Pediatric Nephrology,31,Yes
AR,Pediatric Neurology,262,Yes
AR,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
AR,Pediatric Ophthalmology,263,Yes
AR,Pediatric Orthopedic Surgery,264,Yes
AR,Pediatric Otolaryngology (ENT),265,Yes
AR,Pediatric Pathology,322,No1 (Except MO)
AR,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
AR,Pediatric Pulmonary Medicine,96,Yes
AR,Pediatric Radiology,288,No1 (Except MO)
AR,Pediatric Rehabilitation Medicine,341,Yes
AR,Pediatric Rheumatology,261,Yes
AR,Pediatric Specialist,274,Yes (as Pediatrics)
AR,Pediatric Speech Pathologist,115,No2
AR,Pediatric Sports Medicine,323,Yes
AR,Pediatric Surgery,114,Yes
AR,Pediatric Urology,267,Yes
AR,Pediatrics,37,Yes
AR,Perinatology (Maternal & Fetal Medicine),226,Yes
AR,Phlebology,396,Yes
AR,Physical Medicine and Rehabilitation / Physiatry,25,Yes
AR,Physician Nutrition Specialist,103,Yes
AR,Plastic Surgery,24,Yes
AR,Plastic Surgery within the Head & Neck,337,Yes
AR,Preventative Medicine Aerospace,41,Yes
AR,Preventive Medicine,281,Yes
AR,Proctology,28,Yes
AR,Psychiatric Nurse Specialist/Practitioner,329,No2
AR,Psychiatric Social Work,9,No2
AR,Psychiatry,26,No2
AR,"Psychology, Clinical (Doctorate Level)",70,No2
AR,Psychosomatic Medicine,291,No2
AR,Public Health,238,Yes
AR,Public Health & General Preventive Medicine,236,Yes
AR,Pulmonary Medicine,29,Yes
AR,Radiation Oncology,32,Yes
AR,Radioisotopic Pathology,240,No1 (Except MO)
AR,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
AR,Radiological Physics,324,Yes (as Radiation Oncology)
AR,Radiology,30,No1 (Except MO)
AR,Rehabilitative Medicine,253,Yes
AR,Reproductive Endocrinology,241,Yes
AR,Rheumatology,90,Yes
AR,Rhinology,292,Yes (as Otolaryngology)
AR,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
AR,Sleep Study Medicine,361,Yes
AR,"Social Worker, Licensed Clinical/Medical",63,No2
AR,Spinal Cord Injury Medicine,344,Yes
AR,Sports Medicine,296,Yes
AR,Surgery,2,Yes
AR,Surgical Critical Care,242,Yes
AR,Surgical Oncologist,508,Yes
AR,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
AR,Thoracic Cardiovascular Surgery,33,Yes
AR,Thoracic Surgery,101,Yes
AR,Traumatic Surgery,293,Yes
AR,Undersea and Hyperbaric Medicine,327,Yes
AR,Undersea Medicine,372,Yes
AR,Urgent Care Medicine,328,No1 (Except MO)
AR,Urology,34,Yes
AR,Vascular Intervention Radiology,335,No1 (Except MO)
AZ,Acupuncture,201,No2
AZ,Addiction Medicine Specialist,331,No2
AZ,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
AZ,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
AZ,Athletic Trainer,121,No
AZ,Audiology,205,Yes
AZ,Behavioral Analyst,300,No2
AZ,Certified Diabetic Educator,27,Yes
AZ,Certified Nurse Midwife,69,Yes
AZ,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
AZ,Child Psychology,268,No2
AZ,Chiropractic Medicine,35,No2
AZ,Christian Science Practitioner,376,No
AZ,Counselor - MH/SA/School,377,No2
AZ,Dentist,50,No2
AZ,"Dentist, Oral Surgeon",92,Yes
AZ,Employee Assistance Program (EAP) Counselor,379,No
AZ,Empowerment Coach,118,No
AZ,Endodontics,51,No2
AZ,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
AZ,Genetic Counselor,320,No
AZ,Hearing Instrument Specialist,298,No
AZ,Home Health  / Private Duty Nurse,243,No
AZ,Home Health Aide,67,No
AZ,Homemaker,21,No
AZ,Homeopathic Medicine,282,No
AZ,Lactation Specialist,380,No
AZ,Licensed Professional Counselor,381,No2
AZ,Licensed Vocational Nurse,382,No
AZ,Marriage & Family Therapy,318,No2
AZ,Massage Therapy,514,No
AZ,Master of Social Work,391,No2
AZ,"Naturopathy, Doctor of",384,Yes
